"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes"
"001.20924","006755727","Monograph","Language material ; Text","Volume","GB8105824","9789024724147","Spiller, Michael R. G.","","person","","Casaubon, Meric, 1599-1671 [person] ; Spiller, Michael R. G. [person]","Concerning natural experimental philosophie : Meric Casaubon and the Royal Society","Letter of Meric Casaubon to Peter du Moulin concerinig natural experimental philosophie","Archives internationales d'histoire des idées = International archives of the history of ideas","94 [Archives internationales d'histoire des idées = International archives of the history of ideas]","England","Hague ; London","Nijhoff","1980","","232 pages, 1 facsimile, 24 cm","8487.d.2/94","Casaubon, Meric, 1599-1671 ; Apologetics ; Witchcraft ; Scholarship--Casaubon, Meric ; Supernatural","","English","bibliography: p218-227. _ Includes index"
"001.909","012958874","Monograph","Language material ; Text","Volume","GBA454635","9780415288606","Oldridge, Darren","1966-","person","","Oldridge, Darren, 1966- [person]","Strange histories : the trial of the pig, the walking dead, and other matters of fact from the Medieval and Reniassance worlds","","","","England","London","Routledge","2005","","x, 198 pages, 8 pages of plates, illustrations, 24 cm","YC.2006.a.12532 ; m04/.35600","Belief and doubt--History ; Witchcraft--History","","English",""
"001.909","018537497","Monograph","Language material ; Text","Online resource","GBB7J4258","9781351595711","Oldridge, Darren","1966-","person","","Oldridge, Darren, 1966- [person]","Strange histories : the trial of the pig, the walking dead, and other matters of fact from the medieval and Renaissance worlds","'A shipwreck of souls' : understanding witchcraft -- ; Angels on a pinhead -- ; Conclusion : 'the edge of wonder.' ; Introduction : strange worlds -- ; Raptures and forbidden words -- ; Suffering saints -- ; The case for killing heretics -- ; The roaming dead -- ; They hang horses, don't they? -- ; Werewolves and flying witches --","","","","","Routledge","2017","","1 online resource, illustrations","ELD.DS.199635","Hekserij ; Belief and doubt ; Bijgeloof ; Wunderglaube ; Aberglaube ; Witchcraft--History ; Croyance et doute--Histoire ; Het Bovennatuurlijke ; Belief and doubt--History ; Magie ; Mittelalter ; Zauberspruch ; Sorcellerie--Histoire","History","English",""
"001.94","011309601","Monograph","Language material ; Text","Volume","GB8951985","9780140191905","","","","","Cavendish, Richard, 1930- [person]","Encyclopedia of the unexplained : magic, occultism and parapsychology","","","","England","London","Arkana","1989","","304 pages, illustrations, 20 cm","YK.1994.b.4786","Occultism--Dictionaries ; Parapsychology--Dictionaries ; Mysteries ; Magic--Dictionaries","Dictionary","English",""
"005.26","007355068","Monograph","Language material ; Text","Volume","GB9657959","9780201409536","Boone, Barry","","person","","Boone, Barry [person]","Magic cap programmer's cookbook","","","","England","Reading, Massachusetts ; Wokingham","Addison-Wesley Pub","1995","","xvii, 360 pages, illustrations, 23 cm","CDM.1997.a.209","Magic cap ; Computer software--Development ; Microcomputers--Software","","English","A 4.75' computer laser optical disk in pocket attached to back cover ; Includes index"
"005.26","007355297","Monograph","Language material ; Text","Volume","GB9652360","9780201489484","","","","","General Magic, Inc [organisation]","Magic cap complete : the official guide to all the capabilities of your Magic cap communicator","","","","England","Reading, Massachusetts ; Wokingham","Addison-Wesley","1995","","xviii, 584 pages, illustrations, 24 cm","YK.1996.b.14635","Magic cap ; Microcomputers--Software ; Communications software","","English","Includes index"
"006.4","006607527","Monographic component part","Language material ; Text","Volume","","","De Bruine, Annelies","","person","","Hewlett-Packard Laboratories [organisation] ; De Bruine, Annelies [person]","VoiceWeb : multimodal demo test","","HP Laboratories technical report","no HPL-2001-48 [HP Laboratories technical report]","","","Hewlett-Packard Laboratories","2001","","","4335.262050","Pattern perception ; Speech recognition; Synthesis; Internet; Wizard of Oz ; Image processing ; Business--Data processing ; Pattern recognition & image processing ; Applications of computer science & business data processing ; Pattern recognition systems","","",""
"006.4","006607531","Monographic component part","Language material ; Text","Volume","","","Hickey, Marianne","","person","","Brittan, Paul St John [person] ; Hickey, Marianne [person] ; Hewlett-Packard Laboratories [organisation]","Lessons from the development of a conservational interface","","HP Laboratories technical report","no HPL-2001-77 [HP Laboratories technical report]","","","Hewlett-Packard Laboratories","2001","","","4335.262050","Pattern perception ; Pattern recognition & image processing ; Image processing ; Wizard of Oz; Speech recognition; Synthesis; Internet ; Business--Data processing ; Applications of computer science & business data processing ; Pattern recognition systems","","",""
"011.31","016135145","Monograph","Language material ; Text","Volume","GBB274399","","Getatchew Haile","1931-","person","compiler","Delamarter, Steve, compiler [person] ; Six, Veronika, compiler [person] ; Getatchew Haile, 1931-, compiler [person] ; Terefe, Melaku, compiler [person] ; Ethiopic Manuscript Imaging Project [organisation]","Catalogue of the Ethiopic Manuscript Imaging Project","","Ethiopic manuscript, texts and studies series","1, 3, 13 [Ethiopic manuscript, texts and studies series]","United States of America","Cambridge ; Eugene, Oregon","James Clarke ; Pickwick Publications","2009-","","volumes, black and white illustrations, 25 cm","YC.2013.a.6544 ; YC.2013.a.6545","Ethiopian magic scrolls--Catalogs ; Manuscripts, Ethiopic--Catalogs","Catalogue","English ; Geez",""
"015.63","009476696","Monograph","Language material ; Text","Volume","GB9464483","9780952050117","Appleyard, David L.","","person","","Appleyard, David L. [person]","Ethiopian manuscripts","","","","England","London","","1993","","142 pages, illustrations (some colour), 25 cm","011.31 ; LB.31.b.10066 ; ORW.1993.c.52","Ethiopia ; Manuscripts ; Ethiopian magic scrolls--Catalogs ; Illumination of books and manuscripts, Ethiopian--Catalogs ; Manuscripts, Ethiopic--Catalogs","","English","bibliography: p11"
"016.7938","009400759","Monograph","Language material ; Text","Volume","GB8735517","9780313233975","Coleman, Earle J. (Earle Jerome)","","person","","Coleman, Earle J. (Earle Jerome) [person]","Magic : a reference guide","","American popular culture","","England ; United States of America","London ; New York","Greenwood","1987","","xvi, 198 pages, 25 cm","90/20797 ; YC.1987.b.6447","Magic tricks ; Magic tricks--Bibliography ; Conjuring","","English","Includes index"
"016.7938","009465557","Monograph","Language material ; Text","Volume","GB7711028","9780859350389","Gill, Robert","1952-","person","","Gill, Robert, 1952- [person]","Magic as a performing art : a bibliography of conjuring","","Bibliographies / College of librarianship, Wales","","England","London","Bowker","1976","","xxii, 252 pages, 23 cm","83/01695 ; X.629/11104","Conjuring--Bibliographies ; Magic tricks--Bibliography","","English","Includes index"
"016.81352","012660927","Monograph","Language material ; Text","Volume","GB8920325","9780810821927","Cox, J. Randolph","","person","","Cox, J. Randolph [person]","Man of magic and mystery : a guide to the work of Walter B. Gibson","","","","England","London ; Metuchen","Scarecrow","1988","","xxiv, 382 pages, illustrations, 23 cm","2725.e.102","Magic--Bibliography ; Detectives in literature--Bibliography ; Detective and mystery stories, American--Bibliography ; Shadow (Fictitious character)--Bibliography ; Fiction in English--American writers--Gibson, Walter B--Walter Brown--1897-1985--Catalogues ; Gibson, Walter B. (Walter Brown), 1897-1985--Bibliography","","English","Includes index"
"016.82105","009538580","Monograph","Language material ; Text","Volume","","9780824097677","Schuler, Robert M.","","person","","Schuler, Robert M. [person]","English magical and scientific poems to 1700 : an annotated bibliography","","","","United States of America","New York","Garland","1979","","xxviii, 120 pages, 22 cm","4072.280000 ; 821.05 ; X.950/17285","Civilization, Medieval, in literature--Bibliography ; Magic--Poetry--Bibliography ; Didactic poetry, English--Bibliography ; Science--Poetry--Bibliography ; English poetry--Middle English, 1100-1500--Bibliography ; Poetry in English--to 1702--Bibliographies ; English poetry--Old English, ca. 450-1100--Bibliography ; English poetry--Early modern, 1500-1700--Bibliography","","English",""
"027.625","008106675","Monograph","Language material ; Text","Volume","GB9763431","9780838906842","Bauer, Caroline Feller","","person","","Bauer, Caroline Feller [person]","Leading kids to books through magic","","Mighty easy motivators","","England ; United States of America","Chicago ; London","American Library ; Association","1996","","xi, 128 pages, illustrations, 23 cm","YK.1998.a.202","Children's literature--Bibliography ; Magic tricks--United States ; Children's libraries--Activity programs--United States ; Book talks--United States","","English",""
"070.5","008812155","Monograph","Language material ; Text","Volume","GB7704532","9780950336732","Hall, Trevor H. (Trevor Henry)","1910-","person","","Hall, Trevor H. (Trevor Henry), 1910- [person] ; Muir, Percy H. (Percy Horace) [person]","Some printers & publishers of conjuring books and other ephemera, 1800-1850","","","","England","Elmete Ave, Leeds LS8 2JX ; Leeds","Elmete Press","1976","","x, 97 pages, illustrations, facsimiles (some colour), 30 cm","Cup.511.ay.2","Printing--Great Britain--History ; Publishers and publishing--Great Britain--History ; Magic tricks--Bibliography ; England--Conjuring--Documents on conjuring--Printing & publishing--history","","English","Includes index ; illustrations on lining papers. - Limited edition of 465 numbered copies"
"070.9","016019303","Monograph","Language material ; Text","Volume","","9789519040394","Suhr, Carla","","person","","Suhr, Carla [person] ; Uusfilologinen Yhdistys [organisation]","Publishing for the masses : early modem English witchcraft pamphlets","","Mémoires de la Société Néophilologique de Helsinki","tome 83 [Mémoires de la Société Néophilologique de Helsinki]","Finland","Helsinki","Société Néophilologique","2011","","xv, 302 pages, illustrations, 21 cm","Ac.9883 [TME 83]","Printed ephemera--England--History--16th century ; English literature--Early modern, 1500-1700--History and criticism ; Pamphlets--Publishing--England--History--16th century ; Mass media--England--History--17th century ; Corpora (Linguistics) ; Printed ephemera--England--History--17th century ; English language--Early modern, 1500-1700--Style ; Witchcraft--England--History--17th century--Sources ; Popular literature--England--History and criticism ; Street literature--England--History and criticism ; Popular culture--England--History--16th century ; Mass media--England--History--16th century ; Witchcraft--England--History--16th century--Sources ; Pamphlets--Publishing--England--History--17th century ; Popular culture--England--History--17th century","Source","English","Originally presented as the author's thesis (doctoral)"
"080","009618255","Monograph","Language material ; Text","Volume","","9789516483798","Biezais, Haralds","1909-1995","person","","Biezais, Haralds, 1909-1995 [person]","Von der Wesenidentität der Religion und Magie","","Acta Academiae Aboensis : Series A, Humaniora","volume 55, number 3 [Acta Academiae Aboensis : Series A, Humaniora]","Finland","","Åbo Akad","1978","","31 pages, 25 cm","0578.990000","Religion ; Magic","","German",""
"086","017527089","Monograph","Language material ; Text","Volume","","9788493771645","","","","","Agüero de Trasmiera, Juan, compiler [person] ; Infantes, Víctor, editor [person]","Probadas flores romanas de famosos y doctos varones, compuestas para salud y reparo de los cuerpos humanos y gentilezas de hombres de palacio y de crianza (c. 1512)","","Los libros de Sansueña","2 [Los libros de Sansueña]","Spain","Madrid","Turpin Editores","2011","","63 pages, black and white illustrations, 24 cm","YF.2015.a.24901","Traditional medicine--Spain--Early works to 1800 ; Herbs--Therapeutic use--Spain--Early works to 1800 ; Medicine, Magic, mystic, and spagiric--Spain--Early works to 1800","Early works to 1800","Spanish",""
"091","008083957","Monograph","Language material ; Text","Volume","GBA039347","9780714119304","Leitz, Christian, Ph. D.","","person","","Leitz, Christian, Ph. D. [person] ; British Museum, Trustees [organisation]","Magical and medical papyri of the New Kingdom","","Hieratic papyri in the British Museum","7 [Hieratic papyri in the British Museum]","England","London","British Museum","1999","","x, 109 pages, 52 ie 100 pages of plates, illustrations, 32 cm","LB.31.c.12104 ; fm00/1611","Egyptian language--Papyri, Hieratic--Catalogs ; British Museum--Department of Egyptian Antiquities--Catalogs ; Magic, Egyptian--Sources ; Medicine, Egyptian--Sources","Catalogue ; Source","English","plates consist chiefly of double pages, with photographic facsimile of papyrus fragment and (hieroglyphic) transcription on facing pages"
"100","009813877","Monograph","Language material ; Text","Online resource","","","Watters, John G.","","person","","Watters, John G. [person]","The magical universe of William S. Burroughs","","","","","","University of Keele","1999","","","311121","Religion ; Individualism; Magic; Polytheism; Monotheism ; Literature ; Performing arts ; Mass media ; Philosophy","","",""
"100","010431887","Monograph","Language material ; Text","Online resource","","","Day, Sophie","","person","","Day, Sophie [person]","Embodying spirits : village oracles and possession rituals in Ladkh, North India","","","","","","University of London Press","1989","","","318353","Religion ; Buddhism; Witchcraft ; Folklore ; Anthropology ; Philosophy","","English",""
"100","010439975","Monograph","Language material ; Text","Online resource","","","Shaw, Rosalind H.","","person","","Shaw, Rosalind H. [person]","Temne divination : the management of secrecy and revelation","","","","","","University of London Press","1982","","","320756","Religion ; Folklore ; Anthropology ; Witchcraft ; Philosophy","","",""
"100","010443705","Monograph","Language material ; Text","Online resource","","","Pearson, Joannne Elizabeth","","person","","Pearson, Joannne Elizabeth [person]","Religion and the return of magic : Wicca as esoteric spirituality","","","","","","University of Lancaster","2000","","","322133","Religion ; Witchcraft; Paganism; Keith Thomas ; Folklore ; Anthropology ; Philosophy","","",""
"100","011059052","Monograph","Language material ; Text","Online resource","","","Voss, Angela","","person","","Voss, Angela [person]","Magic, astrology and music : the background to Marsilio Ficino's astrological music therapy and his role as a Renaissance magus","","","","","","University","1992","","","333474","Religion ; Literature ; Magic ; Performing arts ; Mass media ; Philosophy","","",""
"100","011701377","Monograph","Language material ; Text","Online resource","","","Devlin, Judith Edina","","person","","Devlin, Judith Edina [person]","The place of the supernatural in the traditional culture of rural France in the nineteenth century","","","","","","University of Oxford","1985","","","359702","Religion ; Folklore ; Anthropology ; Witchcraft ; Philosophy","","",""
"100","011729026","Monograph","Language material ; Text","Online resource","","","Macaulay, Michael James","","person","","Macaulay, Michael James [person]","Pansophia and perfection : the nature of utopia in the early seventeenth century","","","","","","University of Durham","2001","","","369322","Public administration ; Political science ; History ; Religion ; Ideal society; Neoplatonism; Renaissance; Science; Magic ; Philosophy","","",""
"111","018826266","Monograph","Language material ; Text","Online resource","GBB879460","9781350044036 ; 9781350044043","Campagna, Federico","","person","author","Campagna, Federico, author [person]","Technic and magic : the reconstruction of reality","","","","England","London","Bloomsbury","2018","","1 online resource","ELD.DS.276392","PHILOSOPHY / Metaphysics ; Philosophy: epistemology & theory of knowledge ; Knowledge, Theory of ; Magic ; Philosophy--Hindu ; Reality ; Islamic & Arabic philosophy ; Oriental & Indian philosophy ; Philosophy--Eastern ; Technology and civilization ; Philosophy--Epistemology ; Philosophy--History & Surveys--Ancient & Classical","","English",""
"111.84","016517829","Monograph","Language material ; Text","Volume","GBB3A8426","9781848881822","Global Conference on Evil and Human Wickedness, 12th, Prague, Czech Republic","","meeting/conference","","Global Conference on Evil and Human Wickedness, 12th, Prague, Czech Republic [meeting/conference] ; Mádlo, Gabriela, editor [person] ; Global Conference on Magic and the Supernatural, 2nd, Prague, Czech Republic [meeting/conference] ; Farghaly, Nadine, 1981-, editor [person]","When evil met magic : a versatile journey","","At the interface","","England","Oxford","Inter-Disciplinary Press","2013","","xi, 160 pages, 21 cm","YK.2014.a.13888","Magic in literature--Congresses ; Evil in literature--Congresses ; Good and evil--Congresses","Congress","English",""
"115","009484891","Monograph","Language material ; Text","Volume","GBA039792","9780952993612","Hubert, Henri","","person","","Hubert, Henri [person] ; Parkin, Robert, 1950- [person]","Essay on time : a brief study of the representation of time in religion and magic","Étude sommaire de la représentation du temps dans la religion et la magie. English","","","England","Oxford","Durkheim","1999","","114 pages, portraits, 22 cm","YC.2000.a.7069 ; m01/10176","Time--Religious aspects ; Magic","","English",""
"130","006924089","Monograph","Language material ; Text","Volume","GBA3T6354","9780892540853","Lévi, Éliphas","1810-1875","person","","Lévi, Éliphas, 1810-1875 [person]","The paradoxes of the highest science : in which the most advanced truths of occultism are for the first time revealed (in order to reconcile the future developments of science and philosophy with the eternal religion)","","","","England ; United States of America","Enfield ; York Beach, Maine","Airlift ; Red Wheel ; Weiser","2004","","xix, 172 pages, portraits, 19 cm","YK.2007.a.1823","Magic ; Occultism","","English","Originally published: 2nd edition Madras, India : Theosophical Pub. House, 1922"
"130","008967783","Monograph","Language material ; Text","Volume","","9782701132860","Ducourthial, Guy","","person","","Ducourthial, Guy [person]","Flore magique et astrologique de l'Antiquité","","L'Antiquité au présent","","France","Paris","Belin","2003","","655 pages, illustrations, 22 cm","YF.2004.a.11753","Medicine, Magic, mystic, and spagiric ; Botany, Medical ; Medicine, Greek and Roman ; Medicinal plants ; Materia medica, Vegetable ; Antiquity--Astrology--Botany--Healing, Magic","","French","Includes indexes"
"130","008972200","Monograph","Language material ; Text","Volume","","9782503510682","","","","","Fauquier, Frédéric [person] ; Pérez-Jean, Brigitte [person] ; Bakhouche, Béatrice [person] ; Majrīṭī, Maslamah ibn Aḥmad, -approximately 1004 [person]","Picatrix : un traité de magie médiéval","Ghāyat al-hakīm wa-ahaqq al-natījatayn bi-al-taqdīm. French","Miroir du Moyen Age","","Belgium","Turnhout","Brepols","2003","","383 pages, illustrations, 21 cm","YF.2004.a.12220","Alchemy--Early works to 1800 ; Magic--Early works to 1800 ; Mediaeval occultism--Treatise ; Astrology--Early works to 1800","Early works to 1800","French","'Or cet original arabe nous est connu; illustrations s'agit de l'ouvrage transmis sous le titre Ghāyat al-hakīm, dont l'auteur reste cependant un mystère; ainsi D. Pingree, l'éditeur du texte latin dont nous proposons la traduction ...'--P [5] ; Authorship uncertain, has been attributed to Maslamah ibn Aḥmad al-Majrīṭī"
"130","012921437","Serial","Language material ; Text","Volume","GBA725209","","","","","","","Razor smile : a journey of chaotic philosophy, majik, politics and lives","Razor smile","","","England","Brighton","Recidivist Press","2002-","","volumes, illustrations, 21 cm + CDs","ESC.9.a.26","Magic--Periodicals ; Philosophy--Periodicals ; Libertarianism--Periodicals ; New Age movement--Periodicals","Periodical","English","Accompanied by CD"
"130","013420590","Monograph","Language material ; Text","Volume","GBA629686","9781578633722","Crowley, Aleister","1875-1947","person","","Crowley, Aleister, 1875-1947 [person] ; Wasserman, James, 1948- [person]","Aleister Crowley and the practice of the magical diary : including John St. John (Equinox I,1) : A master of the temple (Equinox III,1) and other material","","","","England ; United States of America","Enfield ; York Beach, Maine","Weiser","2006","Revised and expanded edition","liii, 200 pages, illustrations, 23 cm","YK.2007.a.15552","Diaries--Authorship ; Magic","","English","Previous edition: Phoenix : New Falcon Publications, 1993"
"130","014536121","Monograph","Language material ; Text","Volume","","9782296046399","Aufrère, Sydney","","person","","Aufrère, Sydney [person]","Thot Hermès l'égyptien : de l'infiniment grand à l'infiniment petit","","Collection Kubaba. Série Antiquité","13 [Collection Kubaba. Série Antiquité]","France","Paris","Harmattan","2007","","369 pages, illustrations, map, 22 cm","YF.2009.a.29315","Hermetism--Egypt ; Mythology, Egyptian ; Occultism--Egypt ; Magic, Egyptian ; Alchemy--Hermetism--Egyptian spirituality and mythology ; Alchemy--Egypt","","French",""
"130","015296022","Monograph","Language material ; Text","Volume","GBB0E4262","9781869928834","Channing, Anton","1974-","person","","Channing, Anton, 1974- [person]","Kaos hieroglyphica : alchemy for the new aeon","","","","England","Oxford","Mandrake of Oxford ; When Illuminated Press","2003","","xiii, 198 pages, illustrations, 24 cm","YK.2010.a.27821","Magic ; Alchemy","","English","'Foreword by Jaq D. Hawkins'--Cover"
"130","016614053","Monograph","Language material ; Still image ; Text","Volume","GBB5D5727","9781909279001","Channing, Anton","1974-","person","author","Duke, Janice, illustrator [person] ; Channing, Anton, 1974-, author [person]","Chemical serpents : the symbols of illumination","","","","United Kingdom","","WhIP ; When Illuminated Press","2013","Gold first edition","116 pages, illustrations (black and white and colour), 29 cm","YKL.2014.b.1379","Magic ; Alchemy","","English",""
"130","017391061","Monograph","Language material ; Still image ; Text","Volume","GBB574853","9781935150237","Hyatt, Christopher S.","","person","author","DuQuette, Lon Milo, 1948-, author [person] ; Wilson, David P., illustrator [person] ; Hyatt, Christopher S., author [person]","Sex magic, tantra & tarot : the way of the secret lover","Sex magic, tantra and tarot","","","United States of America","Tempe, Arizona","Original Falcon Press","2009","Second expanded and revised edition","187 pages, black and white illustrations, 22 cm","YKL.2017.a.10901","Tarot and sex ; Parapsychology and sex ; Magic ; Tantrism","","English","Originally published: 1996"
"130","017461045","Monograph","Language material ; Text","Volume","","9782711623051","Federici-Vescovini, Graziella","","person","","Federici-Vescovini, Graziella [person]","Le Moyen Âge magique : la magie entre religion et science du XIIIe au XIVe siècle","Medioevo magico. French","Études de philosophie médiévale","97 [Études de philosophie médiévale]","France","Paris","J. Vrin","2011","","400 pages, 24 cm","YF.2015.a.17372","Naturwissenschaften ; Religion ; Magic--History--To 1500 ; Philosophie ; Magie","History","French","Originally published in Italian as, Medioevo magico: la magia tra religione e scienza nei secoli XIII e XIV, by UTET libreria, Torino, 2008"
"130","018987468","Monograph","Language material ; Text","Volume","GBB8D6052","9780525509653","Spalter, Mya","","person","author","Spalter, Mya, author [person]","Enchantments : a modern witch's guide to self-possession","","","","United States of America","New York","Lenny","2018","First Edition","xiv, 204 pages, illustrations, 21 cm","YKL.2019.a.11837","Astrology ; Witchcraft ; Magic ; Occultism","","English",""
"130","019499902","Serial","Language material ; Text","Volume","","","","","","","","Hei pi","","","","China","Xianggang","Yu zhou chu ban she","","","illustrations (black and white and colour), 22 cm","ZP.9.a.946","Leather lifestyle--China--Hong Kong--Periodicals ; Dead--Folklore--Periodicals ; Ghost stories--Periodicals ; Sadomasochism--China--Hong Kong--Periodicals ; Magic--Periodicals","Folk tale or fairy tale ; Periodical","Chinese",""
"130.09","018714488","Monograph","Language material ; Text","Online resource","GBB825946","9781527506923","","","","","","From the supernatural to the uncanny","","","","England","Newcastle upon Tyne","Cambridge Scholars","2017","","1 online resource (xv, 273 pages)","ELD.DS.257304","BODY, MIND & SPIRIT / Supernatural ; History of religion ; BODY, MIND & SPIRIT / Parapsychology / General ; BODY, MIND & SPIRIT / Occultism ; BODY, MIND & SPIRIT / Reference ; BODY, MIND & SPIRIT / Mysticism ; Magic, alchemy & hermetic thought ; Supernatural--History ; Hispanic & Latino studies","History","English",""
"130.9","016233230","Monograph","Language material ; Text","Volume","GBB2C7279","9780300123586","Monod, Paul Kléber","","person","","Monod, Paul Kléber [person]","Solomon's Secret Arts : The Occult in the Age of Enlightenment","","","","United States of America","New Haven","Yale University Press","2013","","x, 430 pages, 24 cm","YC.2013.a.6850","Enlightenment ; Occultism ; PHILOSOPHY / History & Surveys / Modern ; Magic ; Science--History--Miscellanea ; HISTORY / Modern / 17th Century ; HISTORY / Europe / Great Britain ; BODY, MIND & SPIRIT / Occultism ; Alchemy","","English","Includes index"
"130.9031","015690940","Monograph","Language material ; Text","Volume","GBB0D4020","9781409419754","Clucas, Stephen","1960-","person","","Clucas, Stephen, 1960- [person]","Magic, memory and natural philosophy in the sixteenth and seventeenth centuries","","Variorum collected studies series","CS973 [Variorum collected studies series]","England","Farnham","Ashgate Variorum","2011","","1 volume (various pagings), illustrations, 24 cm","3310.313000 ; YC.2011.a.17692","Science and magic--History--16th century ; Bruno, Giordano, 1548-1600 ; Science and magic--History--17th century ; Occultism--Europe--History--17th century ; Dee, John, 1527-1608 ; Occultism--Europe--History--16th century","","English",""
"130.91821","015869295","Monograph","Language material ; Text","Volume","GBB196904","9781441116970","McWilliams, Stuart","","person","","McWilliams, Stuart [person]","Magical thinking : history, possibility and the idea of the Occult","","","","England","London","Continuum","2012","","187 pages, 24 cm","YC.2012.a.15223","Magic--Western countries ; Occultism--Western countries","","English",""
"130.91821","018809506","Monograph","Language material ; Text","Online resource","GBB863102","9781441184290 ; 9781441192950","McWilliams, Stuart","","person","author","McWilliams, Stuart, author [person]","Magical thinking : history, possibility and the idea of the Occult","","","","England ; United States of America","London ; New York","Continuum","2012","","1 online resource (200 pages)","ELD.DS.272416","BODY, MIND & SPIRIT--Supernatural ; Occultism ; Western countries ; BODY, MIND & SPIRIT--Mysticism ; BODY, MIND & SPIRIT--Parapsychology--General ; BODY, MIND & SPIRIT--Occultism ; Occultism--Western countries ; Magic ; Magic--Western countries ; General & world history ; BODY, MIND & SPIRIT--Reference ; History--General","","English",""
"130.92","013499223","Monograph","Language material ; Text","Volume","GBA767547","9781402042454 ; 9781402042461","","","","","Clucas, Stephen, 1960- [person]","John Dee : interdisciplinary studies in English Renaissance thought","","Archives internationales d' histoire des idees International archives of the history of ideas","193 = [Archives internationales d' histoire des idees International archives of the history of ideas]","Netherlands","Dordrecht","Springer","2006","","xvii, 366 pages, illustrations, facsimiles, 25 cm","4536.110000 ; YC.2007.a.12000","Science and magic ; Dee, John, 1527-1608 ; Science--History--16th century ; Occultism--England--History--16th century","","English",""
"130.932","013426750","Monograph","Language material ; Text","Volume","GBA632203","9781905125081","","","","","Szpakowska, Kasia Maria [person]","Through a glass darkly : magic, dreams & prophecy in ancient Egypt","","","","Wales","Swansea","Classical Press","2006","","xiv, 274 pages, illustrations, 24 cm","YC.2007.a.15867 ; m07/.20412","Dreams--Egypt ; Prophecy ; Magic--Egypt ; Egypt--Social life and customs--To 332 B.C","","English",""
"130.94","017408096","Monograph","Language material ; Text","Volume","GBB579740","9780300190984","Jütte, Daniel","1984-","person","author","Jütte, Daniel, 1984-, author [person]","The age of secrecy : Jews, Christians, and the economy of secrets, 1400-1800","Zeitalter des Geheimnisses. English","","","United States of America","New Haven","Yale University Press","2015","","ix, 431 pages, 25 cm","YC.2015.a.10039","Secrecy--Religious aspects--Christianity--History ; Colorni, Abraham, approximately 1530- ; Mystery ; Occultism--Europe--History ; Jewish magic--History ; Alchemy--Europe--History ; Secrecy--Religious aspects--Judaism--History ; Jewish alchemists--Europe--History","","English","Other edition: Originally published (manifestation). Das Zeitalter des Geheimnisses. Göttingen : Vandenhoeck & Ruprecht, 2012"
"130.941","015923853","Monograph","Language material ; Text","Online resource","","","Walters, Jennifer","","person","","University of Stirling [organisation] ; Walters, Jennifer [person]","Magical revival : occultism and the culture of regeneration in Britain, c. 1880-1929","","","","United Kingdom","","University of Stirling","2007","","pages, digital, pdf file","513624","Magic--Great Britain--History--20th century ; Occultism--Great Britain--History--19th century ; Culture--Great Britain--20th century ; Culture--Great Britain--19th century ; Occultism--Great Britain--History--20th century ; Magic--Great Britain--History--19th century","","English",""
"130.9426","015950720","Monograph","Language material ; Text","Volume","GBB276151","9781907614064","Pennick, Nigel","","person","","Pennick, Nigel [person]","In field and fen","","","","England","Earl Shilton","Lear","2011","","165 pages, illustrations, 21 cm","YK.2012.a.14566","Magic--England--Fens, The ; Rites and ceremonies--England--Fens, The","","English",""
"130.973","019223632","Monograph","Language material ; Text","Volume","","9780143132066","Lachman, Gary","1955-","person","author","Lachman, Gary, 1955-, author [person]","Dark star rising : magick and power in the age of Trump","","","","United States of America","New York","A Tarcher Perigee Book","2018","","xxii, 233 pages, 21 cm","YD.2019.a.538","United States--Politics and government--2017- ; Occultism--United States--History--21st century ; White nationalism--United States--History--21st century ; Magic--United States--History--21st century ; Right-wing extremists--United States--History--21st century ; Trump, Donald, 1946- ; Political culture--United States","","English","'A TarcherPerigee book' ; Additional physical form: Lachman, Gary, 1955- author. Online version. Dark star rising. New York : TarcherPerigee, 2018. 9780525503804"
"131","007403127","Monograph","Language material ; Text","Volume","GBA2Y8235","9780712615914","Williams, Lynn","","person","","Williams, Lynn [person]","Rituals for an enchanted life : simple steps to make your world wonderful","","","","England","London","Rider","2002","","282 pages, 17 cm","YK.2003.a.7166","Magic ; Self-actualization (Psychology) ; Ritual","","English","Includes index"
"131","009438902","Monograph","Language material ; Text","Volume","GBA334278","9780738700014","Webster, Richard","1946-","person","","Webster, Richard, 1946- [person]","Write your own magic : the hidden power in your words","","","","England ; United Kingdom","St Paul, Minnesota","Llewellyn Publications","2001","","xxiv, 254 pages, illustrations, 21 cm","YK.2003.a.10209","Success--Miscellanea ; Magic","","English",""
"131","014596536","Monograph","Language material ; Text","Volume","GBA859793","9781578634248","Farber, Philip H.","","person","","Farber, Philip H. [person]","Meta-magick : the book of atem : achieving new states of consciousness through NLP, neuroscience, and ritual","","","","United States of America","San Francisco, California","Weiser","2008","","171 pages, illustrations, 23 cm","YK.2008.a.25793","Consciousness--Miscellanea ; Magic--Miscellanea","","English",""
