"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes"
"823.92","015358406","Monograph","Language material ; Text","Volume","GBB0A3129","9781438935317","Brett","1958-","person","","Brett, 1958- [person]","A life for infinite enjoyment","","","","England","Central Milton Keynes","AuthorHouse","2009","","volumes, 352 pages, 23 cm","H.2010/.8503","Witches--Fiction ; Magicians--Fiction ; Poor--England--Norwich--Fiction","Fiction","English","Novel"
"823.92","015368414","Monograph","Language material ; Text","Volume","GBB0A3289","9780955512933","Trayer, Edward H.","","person","","Trayer, Edward H. [person] ; Emery, Alison [person]","Incantus Gothmog","","A wishing shelf tale","book 3 [A wishing shelf tale]","England","Chester","Wishing Shelf Pub. House","2008","","202 pages, illustrations, 24 cm","YK.2010.a.16537","Magic--Juvenile fiction","Children's fiction","English","Children's stories"
"823.92","015368420","Monograph","Language material ; Text","Volume","GBB0A3290","9780955512926","Trayer, Edward H.","","person","","Trayer, Edward H. [person] ; Emery, Alison [person]","Articulus quest","","A wishing shelf tale","book 2 [A wishing shelf tale]","England","Chester","Wishing Shelf Pub. House","2008","","219 pages, illustrations, 24 cm","YK.2010.a.16536","Magic--Juvenile fiction ; Bookstores--Juvenile fiction","Children's fiction","English","Children's stories"
"823.92","015374184","Monograph","Language material ; Text","Volume","GBB0B2381","9781438904726","Rashid, Anna","","person","","Rashid, Anna [person] ; Sitek, Jan, 1949- [person]","The magic money tree","","","","England","Central Milton Keynes","AuthorHouse","2009","","1 volume (unpaged), colour illustrations, 28 cm","YK.2010.b.6997","Dreams--Juvenile fiction ; Magic--Juvenile fiction ; Trees--Juvenile fiction","Children's fiction","English","Children's story"
"823.92","015374482","Monograph","Language material ; Text","Volume","GBB0B2385","9781438934969","Slade, Nicholas","","person","","Slade, Nicholas [person]","Joon the Zsun and his magical spoon","","","","England","Central Milton Keynes","AuthorHouse","2009","","1 volume (unpaged), colour illustrations, 22 cm","YK.2010.a.18215","Magic--Juvenile fiction","Children's fiction","English","Children's story"
"823.92","015374535","Monograph","Language material ; Text","Volume","GBB0B5232","9780956173218","Dawson, R. L.","","person","","Dawson, R. L. [person] ; Burleigh, Sue [person]","The lost dog and bone","","Aamazing adventures of Scary Bones the skeleton ; Mulberry's magical stories","","England","Winterborne Stickland","Mulberry Tree","2009","","ii, 66 pages, illustrations, 24 cm","YK.2010.a.18018","Magic--Juvenile fiction ; Dogs--Juvenile fiction","Adventure ; Children's fiction","English","Juvenile novel"
"823.92","015376048","Monograph","Language material ; Text","Volume","GBA992475","9780571249695","Jenkinson, Ceci","","person","","Jenkinson, Ceci [person]","Mirror mischief","","","","England","London","Faber","2010","","152 pages, 20 cm","YK.2010.a.36315","Bullying--Juvenile fiction ; Magic--Juvenile fiction ; Schools--Juvenile fiction","Children's fiction","English",""
"823.92","015376091","Monograph","Language material ; Text","Volume","GBA992518","9780751543476","Learner, Tobsha","","person","","Learner, Tobsha [person]","Sphinx","","","","England","London","Sphere","2010","","546 pages, map, 20 cm","H.2010/.6774","Husbands--Fiction ; Bereavement--Fiction ; Egypt--Antiquities--Fiction ; Magic--Fiction ; Egyptology--Fiction ; Women archaeologists--Fiction","Fiction ; Suspense fiction","English",""
"823.92","015376617","Monograph","Language material ; Text","Volume","GBA993044","9781906427153","Walsh, Pat","1954-","person","","Walsh, Pat, 1954- [person]","The Crowfield curse","","","","England","Frome","Chicken House","2010","","319 pages, 20 cm","YK.2010.a.22884","Abbeys--History--To 1500--Juvenile fiction ; Magic--Juvenile fiction ; Goblins--Juvenile fiction","Children's fiction ; Fantasy","English",""
"823.92","015391948","Monograph","Language material ; Text","Volume","GBA9A0173","9781848762602","Freestone, Lorna K.","","person","","Freestone, Lorna K. [person]","Santa's elf","","The secret keepers chronicles","","England","Leicester","Matador","2009","","ix, 215 pages, 21 cm","YK.2010.a.11268","Missing persons--Juvenile fiction ; Elves--Juvenile fiction ; Magic--Juvenile fiction","Children's fiction ; Fantasy","English",""
"823.92","015397165","Monograph","Language material ; Text","Volume","GBA9A1838","9780385610810","Newbery, Linda","","person","","Newbery, Linda [person] ; Smy, Pam [person]","Lob","","","","England","Oxford","David Fickling","2010","","217 pages, illustrations, 20 cm","YK.2011.a.2452","Grandfathers--Death--Juvenile fiction ; Magic--Juvenile fiction ; Gardens--Juvenile fiction","Children's fiction","English",""
"823.92","015397479","Monograph","Language material ; Text","Volume","GBA9A2152","9780755347858","Howard, Jonathan L.","","person","","Howard, Jonathan L. [person]","Johannes Cabal the necromancer","","","","England","London","Headline","2010","","337 pages, 20 cm","H.2010/.7066","Devil--Fiction ; Life and death, Power over--Fiction ; Wagers--Fiction ; Magic--Fiction","Fantasy ; Fiction","English","Originally published: 2009"
